Parameter 1,Parameter 2,Second-order Sobol index
SL_n,SL_n,
SL_n,BRC1_2_n,-0.00016659449403221005
SL_n,CK_n,-0.0005815656271167396
SL_n,Aux_n,-0.00015076564254228736
SL_n,ABA_n,-0.00018409203351851724
SL_n,PIN_1_3_4_7_n,1.7117631317665333e-05
SL_n,Aux_Bud_n,-3.6046682137455544e-05
SL_n,SUC_n,-0.00046919770353964774
SL_n,GA_n,-0.0006799541944349785
SL_n,Decap_signal_n,-0.0001384146954277743
SL_n,CXE_n,-0.0002235447912892744
SL_n,SMXL6_7_8_n,-0.00019623070134905282
SL_n,FHY3_FAR1_n,-0.00025427543036274695
SL_n,SPL9_15_n,-0.0001740193569479422
SL_n,MAX2_n,-0.00022763154633277183
SL_n,D14_n,-0.00024022268084996425
SL_n,D27_n,-0.00017888512666221787
SL_n,MAX3_n,-0.00020868761029111164
SL_n,MAX4_n,-0.00020549418957105923
SL_n,MAX1_n,-0.00021947082650865325
SL_n,LBO_n,-0.00026087647841755617
SL_n,CLAMT_n,-0.00022863212595628708
SL_n,PhyB_n,-0.000223375449866475
SL_n,PIFs_n,-0.00035453916135597943
SL_n,HB21_40_53_n,4.662251448356823e-06
SL_n,NCED3_n,-0.00017051036183097666
BRC1_2_n,SL_n,
BRC1_2_n,BRC1_2_n,
BRC1_2_n,CK_n,-0.0036740124891228576
BRC1_2_n,Aux_n,-0.001954001962011908
BRC1_2_n,ABA_n,-0.0030166446498214343
BRC1_2_n,PIN_1_3_4_7_n,-0.002435065900282158
BRC1_2_n,Aux_Bud_n,0.0014116056338297212
BRC1_2_n,SUC_n,-0.0019109579537274768
BRC1_2_n,GA_n,0.0016253850592030383
BRC1_2_n,Decap_signal_n,-0.0028827725490785244
BRC1_2_n,CXE_n,-0.003606461482189661
BRC1_2_n,SMXL6_7_8_n,-0.0037891873956412713
BRC1_2_n,FHY3_FAR1_n,-0.003731011376701945
BRC1_2_n,SPL9_15_n,-0.0031034497961644663
BRC1_2_n,MAX2_n,-0.003223584121899742
BRC1_2_n,D14_n,-0.003638168271633977
BRC1_2_n,D27_n,-0.003997664061609271
BRC1_2_n,MAX3_n,-0.003442932240275005
BRC1_2_n,MAX4_n,-0.003640212797510521
BRC1_2_n,MAX1_n,-0.0034500958725540046
BRC1_2_n,LBO_n,-0.0036024615330842768
BRC1_2_n,CLAMT_n,-0.0034861926727664926
BRC1_2_n,PhyB_n,-0.0033272866416734826
BRC1_2_n,PIFs_n,-0.0028600055823542704
BRC1_2_n,HB21_40_53_n,-0.004081186744078625
BRC1_2_n,NCED3_n,-0.003157812540853582
CK_n,SL_n,
CK_n,BRC1_2_n,
CK_n,CK_n,
CK_n,Aux_n,-0.0009077760070536969
CK_n,ABA_n,-0.0032145063961811693
CK_n,PIN_1_3_4_7_n,-0.002067922712381161
CK_n,Aux_Bud_n,0.007753102620789154
CK_n,SUC_n,0.012094175496529164
CK_n,GA_n,0.01778677440567164
CK_n,Decap_signal_n,0.02498879793177146
CK_n,CXE_n,-0.007033669459742799
CK_n,SMXL6_7_8_n,-0.007040317737039061
CK_n,FHY3_FAR1_n,-0.006920348547652689
CK_n,SPL9_15_n,-0.006522288005788368
CK_n,MAX2_n,-0.006353767832826346
CK_n,D14_n,-0.007405252037110438
CK_n,D27_n,-0.007187033020664146
CK_n,MAX3_n,-0.00632601424489001
CK_n,MAX4_n,-0.006992977970379533
CK_n,MAX1_n,-0.007082542317765433
CK_n,LBO_n,-0.006928139820273357
CK_n,CLAMT_n,-0.007483197206137189
CK_n,PhyB_n,-0.006810106532865501
CK_n,PIFs_n,-0.0062115655670889535
CK_n,HB21_40_53_n,-0.0026260399756626194
CK_n,NCED3_n,-0.0033626606505104285
Aux_n,SL_n,
Aux_n,BRC1_2_n,
Aux_n,CK_n,
Aux_n,Aux_n,
Aux_n,ABA_n,0.0021999353226297294
Aux_n,PIN_1_3_4_7_n,0.005428587434483642
Aux_n,Aux_Bud_n,0.01579886500750806
Aux_n,SUC_n,0.0072570868140241565
Aux_n,GA_n,0.009657790672564184
Aux_n,Decap_signal_n,0.0038896702637098435
Aux_n,CXE_n,0.001965212936603109
Aux_n,SMXL6_7_8_n,0.0018537493730501355
Aux_n,FHY3_FAR1_n,0.0019530755103378138
Aux_n,SPL9_15_n,0.0018458168331125676
Aux_n,MAX2_n,0.0019510508819593523
Aux_n,D14_n,0.001972108485745631
Aux_n,D27_n,0.0020765595188088036
Aux_n,MAX3_n,0.002213061246866199
Aux_n,MAX4_n,0.0019183857921201233
Aux_n,MAX1_n,0.002349841983913068
Aux_n,LBO_n,0.002300594325042117
Aux_n,CLAMT_n,0.0021571124812534512
Aux_n,PhyB_n,0.0022177177403245644
Aux_n,PIFs_n,0.0024564799607614514
Aux_n,HB21_40_53_n,0.002044683227529491
Aux_n,NCED3_n,0.0025124963906224245
ABA_n,SL_n,
ABA_n,BRC1_2_n,
ABA_n,CK_n,
ABA_n,Aux_n,
ABA_n,ABA_n,
ABA_n,PIN_1_3_4_7_n,0.0018928553279037794
ABA_n,Aux_Bud_n,0.004767292935897477
ABA_n,SUC_n,0.000959906548731973
ABA_n,GA_n,0.0029230383191187342
ABA_n,Decap_signal_n,0.003073240249031134
ABA_n,CXE_n,0.001003747728930368
ABA_n,SMXL6_7_8_n,0.0011626756628517914
ABA_n,FHY3_FAR1_n,0.0009675269157212753
ABA_n,SPL9_15_n,0.0012343908030050174
ABA_n,MAX2_n,0.0014148742547304453
ABA_n,D14_n,0.0009953094231181822
ABA_n,D27_n,0.000986966960485926
ABA_n,MAX3_n,0.000818501123632232
ABA_n,MAX4_n,0.0009236697484190644
ABA_n,MAX1_n,0.0008921486943558264
ABA_n,LBO_n,0.001222829398786483
ABA_n,CLAMT_n,0.000930304909803853
ABA_n,PhyB_n,0.001030752757075532
ABA_n,PIFs_n,0.001201298518044576
ABA_n,HB21_40_53_n,0.002050620769409429
ABA_n,NCED3_n,0.001574509944697604
PIN_1_3_4_7_n,SL_n,
PIN_1_3_4_7_n,BRC1_2_n,
PIN_1_3_4_7_n,CK_n,
PIN_1_3_4_7_n,Aux_n,
PIN_1_3_4_7_n,ABA_n,
PIN_1_3_4_7_n,PIN_1_3_4_7_n,
PIN_1_3_4_7_n,Aux_Bud_n,0.019161903365312885
PIN_1_3_4_7_n,SUC_n,0.0088395555914356
PIN_1_3_4_7_n,GA_n,0.01989541622874068
PIN_1_3_4_7_n,Decap_signal_n,0.010973781537280208
PIN_1_3_4_7_n,CXE_n,0.0060551769861267105
PIN_1_3_4_7_n,SMXL6_7_8_n,0.005890529814788355
PIN_1_3_4_7_n,FHY3_FAR1_n,0.006021390464801735
PIN_1_3_4_7_n,SPL9_15_n,0.006092722889905598
PIN_1_3_4_7_n,MAX2_n,0.0056243617008790055
PIN_1_3_4_7_n,D14_n,0.005786871357913877
PIN_1_3_4_7_n,D27_n,0.005656801022878327
PIN_1_3_4_7_n,MAX3_n,0.005953969035548709
PIN_1_3_4_7_n,MAX4_n,0.005741193481223613
PIN_1_3_4_7_n,MAX1_n,0.005844690175145297
PIN_1_3_4_7_n,LBO_n,0.006242555692816148
PIN_1_3_4_7_n,CLAMT_n,0.0058215922763906035
PIN_1_3_4_7_n,PhyB_n,0.006035236677413802
PIN_1_3_4_7_n,PIFs_n,0.006164919889095487
PIN_1_3_4_7_n,HB21_40_53_n,0.006829862086240553
PIN_1_3_4_7_n,NCED3_n,0.006226100013415328
Aux_Bud_n,SL_n,
Aux_Bud_n,BRC1_2_n,
Aux_Bud_n,CK_n,
Aux_Bud_n,Aux_n,
Aux_Bud_n,ABA_n,
Aux_Bud_n,PIN_1_3_4_7_n,
Aux_Bud_n,Aux_Bud_n,
Aux_Bud_n,SUC_n,0.014697683445293097
Aux_Bud_n,GA_n,0.016159242487274544
Aux_Bud_n,Decap_signal_n,0.022892359618092287
Aux_Bud_n,CXE_n,0.0007500714077236172
Aux_Bud_n,SMXL6_7_8_n,0.000602828189295202
Aux_Bud_n,FHY3_FAR1_n,0.0013902893482975376
Aux_Bud_n,SPL9_15_n,6.386936815869454e-05
Aux_Bud_n,MAX2_n,0.0015873410794573913
Aux_Bud_n,D14_n,-0.0007876952299062487
Aux_Bud_n,D27_n,0.0009742006345496853
Aux_Bud_n,MAX3_n,0.00118053344907646
Aux_Bud_n,MAX4_n,0.00033429289298295703
Aux_Bud_n,MAX1_n,0.0008883340465519928
Aux_Bud_n,LBO_n,0.00034933632311617054
Aux_Bud_n,CLAMT_n,0.0005362436562756352
Aux_Bud_n,PhyB_n,0.0008186579687563787
Aux_Bud_n,PIFs_n,0.000836601325620392
Aux_Bud_n,HB21_40_53_n,-0.00022694988103944252
Aux_Bud_n,NCED3_n,0.002103868571312102
SUC_n,SL_n,
SUC_n,BRC1_2_n,
SUC_n,CK_n,
SUC_n,Aux_n,
SUC_n,ABA_n,
SUC_n,PIN_1_3_4_7_n,
SUC_n,Aux_Bud_n,
SUC_n,SUC_n,
SUC_n,GA_n,0.02177779270164451
SUC_n,Decap_signal_n,0.01814914013658074
SUC_n,CXE_n,0.0032716958699821473
SUC_n,SMXL6_7_8_n,0.0032257259491919646
SUC_n,FHY3_FAR1_n,0.002959612415589048
SUC_n,SPL9_15_n,0.003195862910004325
SUC_n,MAX2_n,0.0034223373325467724
SUC_n,D14_n,0.0033235889331531365
SUC_n,D27_n,0.0029977262982425965
SUC_n,MAX3_n,0.0032558909148476247
SUC_n,MAX4_n,0.0036191736965889066
SUC_n,MAX1_n,0.003585811614726497
SUC_n,LBO_n,0.003134091269551025
SUC_n,CLAMT_n,0.003039238802423577
SUC_n,PhyB_n,0.003145783007629845
SUC_n,PIFs_n,0.0036634746927841294
SUC_n,HB21_40_53_n,0.0031298391258175714
SUC_n,NCED3_n,0.0035282392635785764
GA_n,SL_n,
GA_n,BRC1_2_n,
GA_n,CK_n,
GA_n,Aux_n,
GA_n,ABA_n,
GA_n,PIN_1_3_4_7_n,
