Publication,Paper,Experiment,Mutant,Psoup Treatment,Actual tiller number,Significant ranking,Psoup Rank,Psoup Ranking,Kendall Tau,Normalized Kendall Distance,Percentage_0_0.3,Percentage_0.3_0.5,Percentage_0.5_0.7,Percentage_0.7_1
"Aguilar-Martinez et al., 2007",1,1,WT,WT,2.5,1,12,1,0.912870929,0.043564535,78.75,17.5,0,3.75
"Aguilar-Martinez et al., 2007",1,1,decapitated,Decap_signal_n,3.1,2,23,2,0.912870929,0.043564535,78.75,17.5,0,3.75
"Aguilar-Martinez et al., 2007",1,1,brc1,BRC1_2_n,5.5,3,25,3,0.912870929,0.043564535,78.75,17.5,0,3.75
"Aguilar-Martinez et al., 2007",1,1,decapitated brc1,"Decap_signal_n, BRC1_2_n",6,3,27,4,0.912870929,0.043564535,78.75,17.5,0,3.75
"Aguilar-Martinez et al., 2007",1,2,wt+high density,"WT, +Low_R_FR",0,1,10,1,0.912870929,0.043564535,78.75,17.5,0,3.75
"Aguilar-Martinez et al., 2007",1,2,wt+low density,"WT, +High_R_FR",2.5,2,17,2,0.912870929,0.043564535,78.75,17.5,0,3.75
"Aguilar-Martinez et al., 2007",1,2,brc1+high density,"BRC1_2_n,+ Low_R_FR",4,3,17,2,0.912870929,0.043564535,78.75,17.5,0,3.75
"Aguilar-Martinez et al., 2007",1,2,brc1+low density,"BRC1_2_n,+ High_R_FR",8,4,21,3,0.912870929,0.043564535,78.75,17.5,0,3.75
"Aguilar-Martinez et al., 2007",1,3,wt,WT,2,1,12,1,0.547722558,0.226138721,78.75,17.5,0,3.75
"Aguilar-Martinez et al., 2007",1,3,max1,MAX1_n,10.3,3,16,2,0.547722558,0.226138721,78.75,17.5,0,3.75
"Aguilar-Martinez et al., 2007",1,3,brc1 max1,"BRC1_2_n, MAX_1_n",8,2,18,3,0.547722558,0.226138721,78.75,17.5,0,3.75
"Aguilar-Martinez et al., 2007",1,3,brc1,BRC1_2_n,9.5,3,25,4,0.547722558,0.226138721,78.75,17.5,0,3.75
"Aguilar-Martinez et al., 2007",1,4,wt,WT,2,1,12,1,0.333333333,0.333333333,78.75,17.5,0,3.75
"Aguilar-Martinez et al., 2007",1,4,max2,MAX2_n,12.5,4,16,2,0.333333333,0.333333333,78.75,17.5,0,3.75
"Aguilar-Martinez et al., 2007",1,4,brc1 max2,"BRC1_2_n, MAX_2_n",7.9,2,22,3,0.333333333,0.333333333,78.75,17.5,0,3.75
"Aguilar-Martinez et al., 2007",1,4,brc1,BRC1_2_n,9.2,3,25,4,0.333333333,0.333333333,78.75,17.5,0,3.75
"Aguilar-Martinez et al., 2007",1,5,wt,WT,3,1,12,1,0.707106781,0.146446609,78.75,17.5,0,3.75
"Aguilar-Martinez et al., 2007",1,5,max4,MAX4_n,9.1,2,16,2,0.707106781,0.146446609,78.75,17.5,0,3.75
"Aguilar-Martinez et al., 2007",1,5,brc1 max4,"BRC1_2_n, MAX_4_n",8.7,2,18,3,0.707106781,0.146446609,78.75,17.5,0,3.75
"Aguilar-Martinez et al., 2007",1,5,brc1,BRC1_2_n,10,2,25,4,0.707106781,0.146446609,78.75,17.5,0,3.75
"Alder et al., 2012",2,1,WT,WT,2,1,12,1,0.774596669,0.112701665,78.75,17.5,0,3.75
"Alder et al., 2012",2,1,d27,D27_n,5.2,3,16,2,0.774596669,0.112701665,78.75,17.5,0,3.75
"Alder et al., 2012",2,1,d10,MAX4_n,5.7,3,16,2,0.774596669,0.112701665,78.75,17.5,0,3.75
"Alder et al., 2012",2,1,d3,MAX2_n,4.6,2,16,2,0.774596669,0.112701665,78.75,17.5,0,3.75
"Arite et al., 2007",3,1,WT,WT,30,1,12,1,0.073127242,0.463436379,78.75,17.5,0,3.75
"Arite et al., 2007",3,1,d3,MAX2_n,124,3,16,2,0.073127242,0.463436379,78.75,17.5,0,3.75
"Arite et al., 2007",3,1,d10,MAX4_n,192,4,16,2,0.073127242,0.463436379,78.75,17.5,0,3.75
"Arite et al., 2007",3,1,d14,D14_n,160,4,16,2,0.073127242,0.463436379,78.75,17.5,0,3.75
"Arite et al., 2007",3,1,d17,MAX3_n,161,4,16,2,0.073127242,0.463436379,78.75,17.5,0,3.75
"Arite et al., 2007",3,1,d27,D27_n,125,3,16,2,0.073127242,0.463436379,78.75,17.5,0,3.75
"Arite et al., 2007",3,1,fc1,BRC1_2_n,95,2,25,3,0.073127242,0.463436379,78.75,17.5,0,3.75
"Bennet et al ., 2006",4,1,wt,WT,2,1,12,1,0.666666667,0.166666667,78.75,17.5,0,3.75
"Bennet et al ., 2006",4,1,max1,MAX1_n,7.2,2,16,2,0.666666667,0.166666667,78.75,17.5,0,3.75
"Bennet et al ., 2006",4,1,max2,MAX2_n,10,4,16,2,0.666666667,0.166666667,78.75,17.5,0,3.75
"Bennet et al ., 2006",4,1,max3,MAX3_n,8,3,16,2,0.666666667,0.166666667,78.75,17.5,0,3.75
"Bennet et al ., 2006",4,1,max4,MAX4_n,6.5,3,16,2,0.666666667,0.166666667,78.75,17.5,0,3.75
"Bennet et al ., 2006",4,2,max4+iaa,"MAX4_n, +Aux_Shoot",1.5,2,5,1,0.333333333,0.333333333,78.75,17.5,0,3.75
"Bennet et al ., 2006",4,2,WT,WT,0.4,1,12,2,0.333333333,0.333333333,78.75,17.5,0,3.75
"Bennet et al ., 2006",4,2,max4,MAX4_n,2.3,3,16,3,0.333333333,0.333333333,78.75,17.5,0,3.75
"Bannet et al ., 2016",5,1,pin1,PIN_1_3_4_7_n,3,1,6,1,0.800640769,0.099679615,78.75,17.5,0,3.75
"Bannet et al ., 2016",5,1,wt,WT,2,1,12,2,0.800640769,0.099679615,78.75,17.5,0,3.75
"Bannet et al ., 2016",5,1,max2 pin1,"PIN_1_3_4_7_n, MAX2_n",3.6,1,13,3,0.800640769,0.099679615,78.75,17.5,0,3.75
"Bannet et al ., 2016",5,1,d14pin1,"D14_n, PIN_1_3_4_7_n",4,2,13,3,0.800640769,0.099679615,78.75,17.5,0,3.75
"Bannet et al ., 2016",5,1,max2,MAX2_n,11.3,3,16,4,0.800640769,0.099679615,78.75,17.5,0,3.75
"Bannet et al ., 2016",5,1,d14,D14_n,13.5,4,16,4,0.800640769,0.099679615,78.75,17.5,0,3.75
"Bannet et al ., 2016",5,2,WT,WT,2,1,12,1,0.333333333,0.333333333,78.75,17.5,0,3.75
